Professor,Dia,Turno,Horário,Disciplina
Prof 1,Segunda,M,1,livre
Prof 1,Segunda,M,2,livre
Prof 1,Segunda,M,3,livre
Prof 1,Segunda,M,4,livre
Prof 1,Segunda,M,5,livre
Prof 1,Segunda,T,1,livre
Prof 1,Segunda,T,2,livre
Prof 1,Segunda,T,3,livre
Prof 1,Segunda,T,4,livre
Prof 1,Segunda,T,5,livre
Prof 1,Segunda,N,1,livre
Prof 1,Segunda,N,2,livre
Prof 1,Segunda,N,3,livre
Prof 1,Segunda,N,4,livre
Prof 1,Segunda,N,5,livre
Prof 1,Terça,M,1,Engenharia de Software I (CCO - 3º período)
Prof 1,Terça,M,2,Engenharia de Software I (CCO - 3º período)
Prof 1,Terça,M,3,Engenharia de Software I (CCO - 3º período)
Prof 1,Terça,M,4,Engenharia de Software I (CCO - 3º período)
Prof 1,Terça,M,5,livre
Prof 1,Terça,T,1,livre
Prof 1,Terça,T,2,livre
Prof 1,Terça,T,3,livre
Prof 1,Terça,T,4,livre
Prof 1,Terça,T,5,livre
Prof 1,Terça,N,1,livre
Prof 1,Terça,N,2,livre
Prof 1,Terça,N,3,livre
Prof 1,Terça,N,4,livre
Prof 1,Terça,N,5,livre
Prof 1,Quarta,M,1,Gerência de Projeto de Software (CCO - 7º período)
Prof 1,Quarta,M,2,Gerência de Projeto de Software (CCO - 7º período)
Prof 1,Quarta,M,3,Gerência de Projeto de Software (CCO - 7º período)
Prof 1,Quarta,M,4,Gerência de Projeto de Software (CCO - 7º período)
Prof 1,Quarta,M,5,livre
Prof 1,Quarta,T,1,livre
Prof 1,Quarta,T,2,livre
Prof 1,Quarta,T,3,livre
Prof 1,Quarta,T,4,livre
Prof 1,Quarta,T,5,livre
Prof 1,Quarta,N,1,livre
Prof 1,Quarta,N,2,livre
Prof 1,Quarta,N,3,livre
Prof 1,Quarta,N,4,livre
Prof 1,Quarta,N,5,livre
Prof 1,Quinta,M,1,Cloud Computing (Optativas - 5º período)
Prof 1,Quinta,M,2,Cloud Computing (Optativas - 5º período)
Prof 1,Quinta,M,3,Cloud Computing (Optativas - 5º período)
Prof 1,Quinta,M,4,Cloud Computing (Optativas - 5º período)
Prof 1,Quinta,M,5,livre
Prof 1,Quinta,T,1,livre
Prof 1,Quinta,T,2,livre
Prof 1,Quinta,T,3,livre
Prof 1,Quinta,T,4,livre
Prof 1,Quinta,T,5,livre
Prof 1,Quinta,N,1,livre
Prof 1,Quinta,N,2,livre
Prof 1,Quinta,N,3,livre
Prof 1,Quinta,N,4,livre
Prof 1,Quinta,N,5,livre
Prof 1,Sexta,M,1,livre
Prof 1,Sexta,M,2,livre
Prof 1,Sexta,M,3,livre
Prof 1,Sexta,M,4,livre
Prof 1,Sexta,M,5,livre
Prof 1,Sexta,T,1,livre
Prof 1,Sexta,T,2,livre
Prof 1,Sexta,T,3,livre
Prof 1,Sexta,T,4,livre
Prof 1,Sexta,T,5,livre
Prof 1,Sexta,N,1,livre
Prof 1,Sexta,N,2,livre
Prof 1,Sexta,N,3,livre
Prof 1,Sexta,N,4,livre
Prof 1,Sexta,N,5,livre
Prof 2,Segunda,M,1,livre
Prof 2,Segunda,M,2,livre
Prof 2,Segunda,M,3,livre
Prof 2,Segunda,M,4,livre
Prof 2,Segunda,M,5,Análise de Investimento em Informática (CCO - 5º período)
Prof 2,Segunda,T,1,livre
Prof 2,Segunda,T,2,livre
Prof 2,Segunda,T,3,livre
Prof 2,Segunda,T,4,livre
Prof 2,Segunda,T,5,livre
Prof 2,Segunda,N,1,livre
Prof 2,Segunda,N,2,livre
Prof 2,Segunda,N,3,livre
Prof 2,Segunda,N,4,livre
Prof 2,Segunda,N,5,livre
Prof 2,Terça,M,1,livre
Prof 2,Terça,M,2,livre
Prof 2,Terça,M,3,livre
Prof 2,Terça,M,4,livre
Prof 2,Terça,M,5,livre
Prof 2,Terça,T,1,livre
Prof 2,Terça,T,2,livre
Prof 2,Terça,T,3,livre
Prof 2,Terça,T,4,livre
Prof 2,Terça,T,5,livre
Prof 2,Terça,N,1,livre
Prof 2,Terça,N,2,livre
Prof 2,Terça,N,3,livre
Prof 2,Terça,N,4,livre
Prof 2,Terça,N,5,Organização e Métodos (SIN - 7º período)
Prof 2,Quarta,M,1,livre
Prof 2,Quarta,M,2,livre
Prof 2,Quarta,M,3,livre
Prof 2,Quarta,M,4,livre
Prof 2,Quarta,M,5,livre
Prof 2,Quarta,T,1,livre
Prof 2,Quarta,T,2,livre
Prof 2,Quarta,T,3,livre
Prof 2,Quarta,T,4,livre
Prof 2,Quarta,T,5,livre
Prof 2,Quarta,N,1,Organização e Métodos (SIN - 7º período)
Prof 2,Quarta,N,2,Organização e Métodos (SIN - 7º período)
Prof 2,Quarta,N,3,livre
Prof 2,Quarta,N,4,livre
Prof 2,Quarta,N,5,livre
Prof 2,Quinta,M,1,Metaheurísticas para Problemas de Otimização (Optativas - 3º período)
Prof 2,Quinta,M,2,Metaheurísticas para Problemas de Otimização (Optativas - 3º período)
Prof 2,Quinta,M,3,Metaheurísticas para Problemas de Otimização (Optativas - 3º período)
Prof 2,Quinta,M,4,Metaheurísticas para Problemas de Otimização (Optativas - 3º período)
Prof 2,Quinta,M,5,livre
Prof 2,Quinta,T,1,Análise de Investimento em Informática (CCO - 5º período)
Prof 2,Quinta,T,2,Análise de Investimento em Informática (CCO - 5º período)
Prof 2,Quinta,T,3,livre
Prof 2,Quinta,T,4,livre
Prof 2,Quinta,T,5,livre
Prof 2,Quinta,N,1,livre
Prof 2,Quinta,N,2,livre
Prof 2,Quinta,N,3,livre
Prof 2,Quinta,N,4,livre
Prof 2,Quinta,N,5,livre
Prof 2,Sexta,M,1,livre
Prof 2,Sexta,M,2,livre
Prof 2,Sexta,M,3,livre
Prof 2,Sexta,M,4,livre
Prof 2,Sexta,M,5,livre
Prof 2,Sexta,T,1,livre
Prof 2,Sexta,T,2,livre
Prof 2,Sexta,T,3,livre
Prof 2,Sexta,T,4,livre
Prof 2,Sexta,T,5,livre
Prof 2,Sexta,N,1,livre
Prof 2,Sexta,N,2,livre
Prof 2,Sexta,N,3,livre
Prof 2,Sexta,N,4,livre
Prof 2,Sexta,N,5,livre
Prof 3,Segunda,M,1,Fundamentos de Programação (EME) (Outros Cursos - 1º período)
Prof 3,Segunda,M,2,Fundamentos de Programação (EME) (Outros Cursos - 1º período)
Prof 3,Segunda,M,3,Fundamentos de Programação (EME) (Outros Cursos - 1º período)
Prof 3,Segunda,M,4,Fundamentos de Programação (EME) (Outros Cursos - 1º período)
Prof 3,Segunda,M,5,livre
Prof 3,Segunda,T,1,livre
Prof 3,Segunda,T,2,livre
Prof 3,Segunda,T,3,livre
Prof 3,Segunda,T,4,livre
Prof 3,Segunda,T,5,livre
Prof 3,Segunda,N,1,livre
Prof 3,Segunda,N,2,livre
Prof 3,Segunda,N,3,livre
Prof 3,Segunda,N,4,livre
Prof 3,Segunda,N,5,livre
Prof 3,Terça,M,1,Fundamentos de Programação (EBP / ECI) (Outros Cursos - 1º período)
Prof 3,Terça,M,2,Fundamentos de Programação (EBP / ECI) (Outros Cursos - 1º período)
Prof 3,Terça,M,3,Fundamentos de Programação (EBP / ECI) (Outros Cursos - 1º período)
Prof 3,Terça,M,4,Fundamentos de Programação (EBP / ECI) (Outros Cursos - 1º período)
Prof 3,Terça,M,5,livre
Prof 3,Terça,T,1,livre
Prof 3,Terça,T,2,livre
Prof 3,Terça,T,3,livre
Prof 3,Terça,T,4,livre
Prof 3,Terça,T,5,livre
Prof 3,Terça,N,1,livre
Prof 3,Terça,N,2,livre
Prof 3,Terça,N,3,livre
Prof 3,Terça,N,4,livre
Prof 3,Terça,N,5,livre
Prof 3,Quarta,M,1,Fundamentos de Programação (EMA / EEN) (Outros Cursos - 1º período)
Prof 3,Quarta,M,2,Fundamentos de Programação (EMA / EEN) (Outros Cursos - 1º período)
Prof 3,Quarta,M,3,Fundamentos de Programação (EMA / EEN) (Outros Cursos - 1º período)
Prof 3,Quarta,M,4,Fundamentos de Programação (EMA / EEN) (Outros Cursos - 1º período)
Prof 3,Quarta,M,5,livre
Prof 3,Quarta,T,1,livre
Prof 3,Quarta,T,2,livre
Prof 3,Quarta,T,3,livre
Prof 3,Quarta,T,4,livre
Prof 3,Quarta,T,5,livre
Prof 3,Quarta,N,1,livre
Prof 3,Quarta,N,2,livre
Prof 3,Quarta,N,3,livre
Prof 3,Quarta,N,4,livre
Prof 3,Quarta,N,5,livre
Prof 3,Quinta,M,1,Fundamentos de Programação (EMT) (Outros Cursos - 1º período)
Prof 3,Quinta,M,2,Fundamentos de Programação (EMT) (Outros Cursos - 1º período)
Prof 3,Quinta,M,3,Fundamentos de Programação (EMT) (Outros Cursos - 1º período)
Prof 3,Quinta,M,4,Fundamentos de Programação (EMT) (Outros Cursos - 1º período)
Prof 3,Quinta,M,5,livre
Prof 3,Quinta,T,1,livre
Prof 3,Quinta,T,2,livre
Prof 3,Quinta,T,3,livre
Prof 3,Quinta,T,4,livre
Prof 3,Quinta,T,5,livre
Prof 3,Quinta,N,1,livre
Prof 3,Quinta,N,2,livre
Prof 3,Quinta,N,3,livre
Prof 3,Quinta,N,4,livre
Prof 3,Quinta,N,5,livre
Prof 3,Sexta,M,1,livre
Prof 3,Sexta,M,2,livre
Prof 3,Sexta,M,3,livre
Prof 3,Sexta,M,4,livre
Prof 3,Sexta,M,5,livre
Prof 3,Sexta,T,1,livre
Prof 3,Sexta,T,2,livre
Prof 3,Sexta,T,3,livre
Prof 3,Sexta,T,4,livre
Prof 3,Sexta,T,5,livre
Prof 3,Sexta,N,1,livre
Prof 3,Sexta,N,2,livre
Prof 3,Sexta,N,3,livre
Prof 3,Sexta,N,4,livre
Prof 3,Sexta,N,5,livre
Prof 4,Segunda,M,1,livre
Prof 4,Segunda,M,2,livre
Prof 4,Segunda,M,3,livre
Prof 4,Segunda,M,4,livre
Prof 4,Segunda,M,5,livre
Prof 4,Segunda,T,1,livre
Prof 4,Segunda,T,2,livre
Prof 4,Segunda,T,3,livre
Prof 4,Segunda,T,4,livre
Prof 4,Segunda,T,5,livre
Prof 4,Segunda,N,1,Redes de Computadores (SIN - 5º período)
Prof 4,Segunda,N,2,Redes de Computadores (SIN - 5º período)
Prof 4,Segunda,N,3,Redes de Computadores (SIN - 5º período)
Prof 4,Segunda,N,4,Redes de Computadores (SIN - 5º período)
Prof 4,Segunda,N,5,livre
Prof 4,Terça,M,1,livre
Prof 4,Terça,M,2,livre
Prof 4,Terça,M,3,livre
Prof 4,Terça,M,4,livre
Prof 4,Terça,M,5,livre
Prof 4,Terça,T,1,livre
Prof 4,Terça,T,2,livre
Prof 4,Terça,T,3,livre
Prof 4,Terça,T,4,livre
Prof 4,Terça,T,5,livre
Prof 4,Terça,N,1,livre
Prof 4,Terça,N,2,livre
Prof 4,Terça,N,3,livre
Prof 4,Terça,N,4,livre
Prof 4,Terça,N,5,livre
Prof 4,Quarta,M,1,livre
Prof 4,Quarta,M,2,livre
Prof 4,Quarta,M,3,livre
Prof 4,Quarta,M,4,livre
Prof 4,Quarta,M,5,livre
Prof 4,Quarta,T,1,livre
Prof 4,Quarta,T,2,livre
Prof 4,Quarta,T,3,livre
Prof 4,Quarta,T,4,livre
Prof 4,Quarta,T,5,livre
Prof 4,Quarta,N,1,livre
Prof 4,Quarta,N,2,livre
Prof 4,Quarta,N,3,Auditoria e Segurança de Sistemas de Informação (SIN - 7º período)
Prof 4,Quarta,N,4,Auditoria e Segurança de Sistemas de Informação (SIN - 7º período)
Prof 4,Quarta,N,5,livre
Prof 4,Quinta,M,1,livre
Prof 4,Quinta,M,2,livre
Prof 4,Quinta,M,3,livre
Prof 4,Quinta,M,4,livre
Prof 4,Quinta,M,5,livre
Prof 4,Quinta,T,1,livre
Prof 4,Quinta,T,2,livre
Prof 4,Quinta,T,3,livre
Prof 4,Quinta,T,4,livre
Prof 4,Quinta,T,5,livre
Prof 4,Quinta,N,1,livre
Prof 4,Quinta,N,2,livre
Prof 4,Quinta,N,3,livre
Prof 4,Quinta,N,4,livre
Prof 4,Quinta,N,5,Auditoria e Segurança de Sistemas de Informação (SIN - 7º período)
Prof 4,Sexta,M,1,Redes de Computadores (CCO - 5º período)
Prof 4,Sexta,M,2,Redes de Computadores (CCO - 5º período)
Prof 4,Sexta,M,3,Redes de Computadores (CCO - 5º período)
Prof 4,Sexta,M,4,Redes de Computadores (CCO - 5º período)
Prof 4,Sexta,M,5,livre
Prof 4,Sexta,T,1,livre
Prof 4,Sexta,T,2,livre
Prof 4,Sexta,T,3,livre
Prof 4,Sexta,T,4,livre
Prof 4,Sexta,T,5,livre
Prof 4,Sexta,N,1,livre
Prof 4,Sexta,N,2,livre
Prof 4,Sexta,N,3,livre
Prof 4,Sexta,N,4,livre
Prof 4,Sexta,N,5,livre
Prof 5,Segunda,M,1,livre
Prof 5,Segunda,M,2,livre
Prof 5,Segunda,M,3,livre
Prof 5,Segunda,M,4,livre
Prof 5,Segunda,M,5,livre
Prof 5,Segunda,T,1,livre
Prof 5,Segunda,T,2,livre
Prof 5,Segunda,T,3,livre
Prof 5,Segunda,T,4,livre
Prof 5,Segunda,T,5,livre
Prof 5,Segunda,N,1,livre
Prof 5,Segunda,N,2,livre
Prof 5,Segunda,N,3,livre
Prof 5,Segunda,N,4,livre
Prof 5,Segunda,N,5,livre
Prof 5,Terça,M,1,Linguagens Formais e Autômatos (CCO - 5º período)
Prof 5,Terça,M,2,Linguagens Formais e Autômatos (CCO - 5º período)
Prof 5,Terça,M,3,Linguagens Formais e Autômatos (CCO - 5º período)
Prof 5,Terça,M,4,Linguagens Formais e Autômatos (CCO - 5º período)
Prof 5,Terça,M,5,livre
Prof 5,Terça,T,1,livre
Prof 5,Terça,T,2,livre
Prof 5,Terça,T,3,livre
Prof 5,Terça,T,4,livre
Prof 5,Terça,T,5,livre
Prof 5,Terça,N,1,livre
Prof 5,Terça,N,2,livre
Prof 5,Terça,N,3,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Terça,N,4,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Terça,N,5,livre
Prof 5,Quarta,M,1,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,2,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,3,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,4,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,5,livre
Prof 5,Quarta,T,1,livre
Prof 5,Quarta,T,2,livre
Prof 5,Quarta,T,3,livre
Prof 5,Quarta,T,4,livre
Prof 5,Quarta,T,5,livre
Prof 5,Quarta,N,1,livre
Prof 5,Quarta,N,2,livre
Prof 5,Quarta,N,3,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Quarta,N,4,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Quarta,N,5,livre
Prof 5,Quinta,M,1,livre
Prof 5,Quinta,M,2,livre
Prof 5,Quinta,M,3,livre
Prof 5,Quinta,M,4,livre
Prof 5,Quinta,M,5,livre
Prof 5,Quinta,T,1,livre
Prof 5,Quinta,T,2,livre
Prof 5,Quinta,T,3,livre
Prof 5,Quinta,T,4,livre
Prof 5,Quinta,T,5,livre
Prof 5,Quinta,N,1,livre
Prof 5,Quinta,N,2,livre
Prof 5,Quinta,N,3,livre
Prof 5,Quinta,N,4,livre
Prof 5,Quinta,N,5,livre
Prof 5,Sexta,M,1,livre
Prof 5,Sexta,M,2,livre
Prof 5,Sexta,M,3,livre
Prof 5,Sexta,M,4,livre
Prof 5,Sexta,M,5,livre
Prof 5,Sexta,T,1,livre
Prof 5,Sexta,T,2,livre
Prof 5,Sexta,T,3,livre
Prof 5,Sexta,T,4,livre
Prof 5,Sexta,T,5,livre
Prof 5,Sexta,N,1,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,2,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,3,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,4,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,5,livre
Prof 6,Segunda,M,1,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,2,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,3,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,4,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,5,livre
Prof 6,Segunda,T,1,livre
Prof 6,Segunda,T,2,livre
Prof 6,Segunda,T,3,livre
Prof 6,Segunda,T,4,livre
Prof 6,Segunda,T,5,livre
Prof 6,Segunda,N,1,livre
Prof 6,Segunda,N,2,livre
Prof 6,Segunda,N,3,livre
Prof 6,Segunda,N,4,livre
Prof 6,Segunda,N,5,livre
Prof 6,Terça,M,1,livre
Prof 6,Terça,M,2,livre
Prof 6,Terça,M,3,livre
Prof 6,Terça,M,4,livre
Prof 6,Terça,M,5,livre
Prof 6,Terça,T,1,livre
Prof 6,Terça,T,2,livre
Prof 6,Terça,T,3,livre
Prof 6,Terça,T,4,livre
Prof 6,Terça,T,5,livre
Prof 6,Terça,N,1,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,2,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,3,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,4,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,5,livre
Prof 6,Quarta,M,1,livre
Prof 6,Quarta,M,2,livre
Prof 6,Quarta,M,3,livre
Prof 6,Quarta,M,4,livre
Prof 6,Quarta,M,5,livre
Prof 6,Quarta,T,1,livre
Prof 6,Quarta,T,2,livre
Prof 6,Quarta,T,3,livre
Prof 6,Quarta,T,4,livre
Prof 6,Quarta,T,5,livre
Prof 6,Quarta,N,1,livre
Prof 6,Quarta,N,2,livre
Prof 6,Quarta,N,3,livre
Prof 6,Quarta,N,4,livre
Prof 6,Quarta,N,5,livre
Prof 6,Quinta,M,1,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,2,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,3,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,4,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,5,livre
Prof 6,Quinta,T,1,livre
Prof 6,Quinta,T,2,livre
Prof 6,Quinta,T,3,livre
Prof 6,Quinta,T,4,livre
Prof 6,Quinta,T,5,livre
Prof 6,Quinta,N,1,livre
Prof 6,Quinta,N,2,livre
Prof 6,Quinta,N,3,Projeto Integrado (SIN - 1º período)
